artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
O.Torvald,TY YE,13.0,,31 December 2016,381,"14,044","['alternative rock', 'ukrainian', '10s', 'pop-punk', 'instrumental', 'ukrainian', 'pop-punk', 'alternative rock']","['Intro', 'VSE Z POCHATKU', 'TY YE', 'KRYK', 'Poshlo o liubvi', 'SNIG', 'SOCHI', 'DO 6:00', 'TAM DE YA', 'OSTAV MENYA', 'MOVCHY', 'Eto vse', 'OUTRO']"
O.Torvald,Акустичний,10.0,,2 April 2012,"3,060","63,256","['ukrainian', 'indie', 'rock', 'fav', 'ukr', 'ukrainian', 'pop-punk', 'alternative rock']","['Почуття', 'I Love You', 'Без тебе', 'Старість', 'Зловживай', 'Не відпускай', ""П'ятниця"", 'Світ телефонних дротів', 'Не змогли', 'В тобі (інструментальна)']"
O.Torvald,Бісайди,8.0,,11 October 2017,"2,863","37,953","['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'ukrainian', 'pop-punk', 'alternative rock']","['Марі', 'В подушках', 'Ліхтарі', 'Не я', 'Бисайды', 'L.V. (Cover Version)', 'Вечер в Рио', 'В подушках (Nick Niker Remix)']"
O.Torvald,В тобі,12.0,,22 April 2021,"3,548","105,525","['post-punk', 'pop-punk', 'ukrainian', 'ukrainian', 'pop-punk', 'alternative rock']","['Фейдери догори', 'Навпаки', 'Не Відпускай', 'Качай', 'Знову сам', 'в тобі', 'Радіомережі', 'Зловживай', 'Мій друг', 'Нас Двоє', 'Сны и сигареты', 'Не змогли']"
O.Torvald,Втома,10.0,29:53,4 April 2024,815,"18,143","['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'ukrainian', 'pop-punk', 'alternative rock']","['704', 'У вікнах', 'Брудні', 'Амстердам', 'Хейту на зло', 'Я хворий', 'Немає мрій', 'Свідомість', 'Дощ', 'Втома']"
O.Torvald,Голосові,4.0,7:24,25 July 2023,501,"3,256","['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'ukrainian', 'pop-punk', 'alternative rock']","['audio 01', 'audio 02', 'audio 03', 'Голосові']"
O.Torvald,На часі,14.0,49:35,2 June 2023,271,"3,086","['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'ukrainian', 'pop-punk', 'alternative rock']","['Дихай', 'Ненавиджу Вас Всіх', 'Бийся', 'Парад Брехні і Маячні', 'Мій Герой', 'Крик', 'Мій сум', 'Пульс', 'Мовчи', 'без тебе', 'Пиши Моє Ім`я', 'Там Де Я', 'На дні', 'Десь не тут']"
O.Torvald,Ракамакафо - EP,4.0,14:46,13 November 2020,4,43,"['ukrainian', 'pop-punk', 'alternative rock', 'pop punk', 'alternative', 'ukrainian', 'pop-punk', 'alternative rock']","['Ракамакафо', 'Ракамакафо', 'Ракамакафо', 'Новий день']"
O.Torvald,ТИ Є,13.0,45:18,4 December 2014,"4,094","98,391","['3', 'alternative rock', 'pop-punk', '10s', 'pop rock', 'ukrainian', 'pop-punk', 'alternative rock']","['Intro', 'Все з початку', 'Ти Є', 'Крик', 'Пошло о любви', 'Сніг', 'Сочи', 'До 6:00', 'Там Де Я', 'Оставь Меня', 'Мовчи', 'Это Все', 'OUTRO']"
PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ!",15.0,44:40,9 November 2023,"2,210","11,132","['ukrainian', 'edm', 'ukraine', 'electronic', 'folktronica', 'ukrainian', 'edm', 'ukraine']","['ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?)', 'Козаки йдут', 'Нація', 'ДО БОЮ', 'ПИШАЮСЬ', 'TUMAN', 'CАМ ГУЛЯЮ!', 'DRONE', 'Роздам сповна', 'ЛОВИ', 'ГОВОРИТЬ КИЇВ', 'Палає', 'НАСТАНЕ ДЕНЬ', 'БУДЕМ ЖИТИ', 'ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ ! [orchestra version]']"
PROBASS ∆ HARDI,"ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ! [Explicit]",15.0,,15 tracks,0,0,"['ukrainian', 'edm', 'ukraine', 'electronic', 'folktronica', 'ukrainian', 'edm', 'ukraine']","['ДОБРОГО ВЕЧОРА (WHERE ARE YOU FROM?)', 'Козаки йдут [feat. Анна Булат]', 'Нація', 'ДО БОЮ [feat. KHAYAT]', 'ПИШАЮСЬ', 'TUMAN', 'CАМ ГУЛЯЮ!', 'DRONE', 'Роздам сповна [feat. alyona alyona]', 'Лови [feat. Oleg Skrypka]', 'ГОВОРИТЬ КИЇВ', 'Палає [feat. ЮЮ]', 'НАСТАНЕ ДЕНЬ [feat. Анна Булат]', 'БУДЕМ ЖИТИ [feat. VovaZiLvova]', 'ДОБРОГО ВЕЧОРА, МИ З УКРАЇНИ ! (orchestra version) [feat. NAONI]']"
Sad Novelist,Каяття,4.0,10:23,29 July 2021,556,"4,800","['post-punk', 'new wave', 'ukrainian', 'indie pop', 'indie rock', 'post-punk', 'new wave', 'ukrainian']","['Я тону', 'Поміж скронь', 'Божевільний', 'Мереживо']"
Sad Novelist,СМУТОК,7.0,,27 September 2024,287,"1,941","['post-punk', 'new wave', 'ukrainian', 'indie pop', 'indie rock', 'post-punk', 'new wave', 'ukrainian']","['до чистилища праворуч', 'досить', 'жовта маршрутка', 'пабло і моді', 'літери', 'губи покусані', 'тільки Бог']"
Sad Novelist,Тепло - EP,4.0,9:35,3 July 2022,48,351,"['post-punk', 'new wave', 'ukrainian', 'indie pop', 'indie rock', 'post-punk', 'new wave', 'ukrainian']","['А ти спитала мені як?', 'Не смій пити', 'Сироти', 'Один за столом']"
TVORCHI,13 Waves,13.0,35:10,24 September 2020,"1,884","17,768","['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'pop', 'ukrainian', 'electronic']","['Feeling OK', 'Instagram Model', 'Get U Back', 'Living My Life', 'Like It Like That', 'Spring Romance', 'Yellow Sands (feat. Alina Pash)', 'Break Lights', 'Loose', 'Psycho', 'Scandalous', 'Bonfire (Full Version)', 'Vice City']"
TVORCHI,13 Waves [Explicit],13.0,,25 September 2020,20,53,"['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'pop', 'ukrainian', 'electronic']","['Feeling OK [Explicit]', 'Instagram Model', 'Get U Back', 'Living My Life', 'Like It Like That', 'Spring Romance', 'Yellow Sands (feat. Alina Pash) [Explicit]', 'Break Lights', 'Loose [Explicit]', 'Psycho', 'Scandalous', 'Bonfire (Full Version)', 'Vice City']"
TVORCHI,Disco Lights,9.0,30:00,14 February 2019,"7,500","58,768","['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'pop', 'ukrainian', 'electronic']","['Believe', 'Fire', 'Rosy', 'Sensual', 'Summer Vibes', 'Want U', 'Floating in Space', 'Мова Тіла', 'Trip (Orchestral Version)']"
TVORCHI,Heart of Steel,4.0,10:26,23 December 2022,"13,203","111,682","['overthinking eurovision', 'pop', 'ukrainian', 'electronic']","['Broken Heart', 'Heart Of Steel', 'FREEDOM', 'Досить']"
TVORCHI,Heart of Steel - EP,4.0,10:26,23 December 2022,222,"3,982","['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'pop', 'ukrainian', 'electronic']","['Broken Heart', 'Heart Of Steel', 'FREEDOM', 'Досить (feat. alyona alyona)']"
TVORCHI,Planet X,15.0,39:01,13 September 2024,988,"9,913","['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'pop', 'ukrainian', 'electronic']","['Intro', 'Shine', 'dubidu', 'Diva', 'Мрійники', 'Mysterious', 'Орбіти', 'Supernatural', 'Control', 'Follow My Lead', ""I Can't Stop"", 'Neon Lights', 'Odyssey', 'Bonnie & Clyde', 'Is It Over']"
TVORCHI,Planet X [Explicit],15.0,,13 September 2024,13,18,"['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'pop', 'ukrainian', 'electronic']","['Intro', 'Shine', 'dubidu', 'Diva', 'Мрійники', 'Mysterious [Explicit]', 'Орбіти', 'Supernatural [Explicit]', 'Control', 'Follow My Lead', ""I Can't Stop"", 'Neon Lights [Explicit]', 'Odyssey', 'Bonnie & Clyde', 'Is It Over']"
TVORCHI,ROAD,10.0,23:34,10 September 2021,"2,948","28,634","['pop', 'ukrainian', 'electronic', 'dance', 'ukraine', 'pop', 'ukrainian', 'electronic']","['Intro Road', 'Electrify', 'Alive', 'Crush', 'Code', 'Troublemaker', 'Іди сюда', 'Loco', 'Dance on the Beat', 'Falling']"
TVORCHI,The Parts,13.0,40:18,2 February 2018,"1,238","12,099","['pop', 'electronic', 'dance', 'ukrainian', 'ukraine', 'pop', 'ukrainian', 'electronic']","['The One', 'What U Mean', 'Dive', 'Beautiful', 'The Parts', 'I Can_t Believe', 'Сьогодні', 'Earthquake', 'Harmony', 'В моїх думках', 'Trip', 'More', 'Молодість']"
Tember Blanche,Ти лиш людина,9.0,26:56,7 April 2023,"1,764","31,781","['indie', 'indie pop', 'female vocalists', 'ukraine', 'ukrainian', 'ukrainian', 'indie', 'pop']","['Прелюдія', 'Хороший хлопець', 'Пусти мене', 'Тиша', 'Завтра', 'Так Чи Інакше', 'Ван гог', 'Ти лиш людина', 'Пізно']"
