title,artist,title_listeners,title_scrobbles,title_tags,title_duration
Solovey (Instrumental Version),Go_A,212,"1,784","['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",2:56
Tenera,Go_A,205,320,"['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",Add lyrics on Musixmatch
Viola,Go_A,191,308,"['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",3:10
GoaShum,Go_A,190,552,"['folktronica', 'ukrainian', 'folk', 'electronic', 'ukraine', 'ukrainian', 'folktronica', 'folk']",2:44
Вахтерам,Бумбокс,"39,525","246,954","['reggae', 'sad', 'ukrainian', '2007', 'russian', 'ukrainian', 'funk', 'reggae']",3:11
Та4то,Бумбокс,"39,346","313,514","['ukrainian', 'hip-hop', 'sad', 'pop', 'ukrainian', 'funk', 'reggae']",3:26
Хоттабыч,Бумбокс,"27,702","163,072","['ukrainian', 'reggae', 'hip-hop', 'funky-groove', 'ukrainian', 'funk', 'reggae']",4:35
Наодинці,Бумбокс,"23,554","207,146","['ukrainian', 'funk', 'melancholic', 'ukrainian', 'funk', 'reggae']",4:18
Ким ми були,Бумбокс,"20,099","127,849","['ukrainian', 'funk', 'reggae', 'hip-hop', 'ukrainian', 'funk', 'reggae']",3:38
Тримай,Бумбокс,"18,326","109,924","['funk', 'ukrainian', 'reggae', 'hip-hop', 'ukrainian', 'funk', 'reggae']",3:50
Happy End,Бумбокс,"18,231","111,176","['ukrainian', 'funk', 'soul', 'ukrainian', 'funk', 'reggae']",3:20
E-Mail,Бумбокс,"17,947","116,522","['funk', 'ukrainian', 'ukrainian', 'funk', 'reggae']",3:34
Королева,Бумбокс,"17,220","93,610","['funk', 'reggae', 'groove', 'ukrainian', 'funk', 'reggae']",3:22
Одна,Бумбокс,"16,927","98,368","['funk', 'sad', 'ukrainian', 'ukrainian', 'funk', 'reggae']",4:32
Квіти в волоссі,Бумбокс,"16,804","118,108","['ukrainian', 'funk', 'hip-hop', 'ukrainian', 'funk', 'reggae']",3:58
Eva,Бумбокс,"16,643","108,286","['love', 'sad', 'ukrainian', 'reggae', 'ukrainian', 'funk', 'reggae']",3:33
День,Бумбокс,"15,448","88,225","['funk', 'ukrainian', 'funky-groove', 'ukrainian', 'funk', 'reggae']",4:40
Стяги на стяги,Бумбокс,"14,868","102,698","['ukrainian', 'funk', 'ukrainian', 'funk', 'reggae']",3:16
Зима,Бумбокс,"14,641","73,899","['funk', 'melodic funk', 'ukrainian', 'reggae', 'ukrainian', 'funk', 'reggae']",4:29
Бета-каротин,Бумбокс,"12,705","83,816","['funk', 'ukrainian', 'reggae', 'hip-hop', 'funky-groove', 'ukrainian', 'funk', 'reggae']",3:21
Поліна,Бумбокс,"12,636","82,611","['ukrainian', 'funk', 'ukrainian', 'funk', 'reggae']",4:21
Діагноз,Бумбокс,"12,030","70,919","['looooooooooooooooooooooooove this song', 'chill out', 'ukrainian', 'personal', 'ukrainian', 'funk', 'reggae']",3:33
Hip-Hop,Бумбокс,"11,906","68,176","['funk', 'hip-hop', 'ukrainian', 'rock', 'ukrainian', 'funk', 'reggae']",3:49
Гайки з ямайки,Бумбокс,"11,661","68,884","['funk', 'ukrainian', 'reggae', 'hip-hop', 'funky-groove', 'ukrainian', 'funk', 'reggae']",4:16
Почути,Бумбокс,"11,584","64,688","['funk', 'ukrainian', 'sad', 'ukrainian', 'funk', 'reggae']",4:38
Супер-пупер,Бумбокс,"11,515","64,022","['ukrainian', 'funk', 'reggae', 'fun', 'ukrainian', 'funk', 'reggae']",2:56
TNT,Бумбокс,"11,309","62,399","['ukrainian', 'funk', 'positive', 'boombox', 'ukrainian', 'funk', 'reggae']",3:42
Зцапала злапала,Бумбокс,"10,775","61,522","['ukrainian', 'ukrainian', 'funk', 'reggae']",3:23
Віддаю,Бумбокс,"10,415","61,379","['funk', 'reggae', 'ukrainian', 'ukrainian', 'funk', 'reggae']",3:06
Квiти в волоссi,Бумбокс,"10,399","64,570","['pop', '3 stars', 'ukrainian', 'funk', 'reggae']",Залежить час найближчий
Концерти,Бумбокс,"10,266","56,387","['ukrainian', 'funk', 'ukrainian', 'funk', 'reggae']",4:09
Хвилюватися немає причин,Бумбокс,"10,235","53,155","['ukrainian', 'funk', 'hot', 'ukrainian', 'funk', 'reggae']",4:41
Нездара,Бумбокс,"10,207","50,147","['funk', 'ukrainian', 'ukrainian', 'funk', 'reggae']",4:22
Рожеві сиропи,Бумбокс,"10,019","60,157","['funk', 'beautiful', 'great lyrics', 'energy', 'ukrainian', 'funk', 'reggae']",3:15
Бобік,Бумбокс,"9,750","48,479","['taka life', 'explosion of a head', 'reggae', 'raggae', 'ukrainian', 'funk', 'reggae']",3:22
Ta4тo (супер),Бумбокс,"9,136","83,622","['russian', 'rap', 'ukrainian', 'funk', 'reggae']",Add lyrics on Musixmatch
За буйки,Бумбокс,"8,002","49,113","['5 stars', 'funk', 'ukrainian rock', 'ukrainian', 'funk', 'reggae']",Так мало осталось нам лета
Що ти зміг,Бумбокс,"7,955","46,531","['funk', 'cool', 'ukraine', 'stuck in my head', 'ukrainian', 'funk', 'reggae']",4:13
Люди,Бумбокс,"7,238","46,973","['ukrainian', 'funk', 'reggae', 'hip-hop', '2016', 'ukrainian', 'funk', 'reggae']",4:53
Дитина,Бумбокс,"6,881","45,514","['funk', 'ukrainian', 'funk', 'reggae']",4:02
Date With Another Ten,Бумбокс,"6,799","43,499","['funk', 'reggae', 'ukranian', 'dnb', 'ukraine', 'ukrainian', 'funk', 'reggae']",3:29
Cash-бабулес,Бумбокс,"5,837","31,285","['ukrainian', 'funk', 'reggae', 'hip-hop', 'funky-groove', 'ukrainian', 'funk', 'reggae']",4:02
Make-Up,The Hardkiss,"19,701","162,372","['electronic', 'ukrainian', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:00
Stones,The Hardkiss,"9,893","74,502","['pop', 'ukrainian', 'electronic', 'dance']",3:47
Журавлі,The Hardkiss,"8,116","63,061","['electronic', 'ukraine', 'ukrainian', 'the hardkiss', 'ukrainian', 'electronic', 'dance']",3:28
Organ,The Hardkiss,"7,465","48,803","['pop', 'organ', 'the hardkiss', 'ukrainian', 'electronic', 'dance']",3:18
Кобра,The Hardkiss,"6,911","60,510","['ukrainian', 'electronic', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",3:30
Helpless,The Hardkiss,"6,881","57,466","['ukrainian', 'female vocalist', 'electronic', 'boring', 'ukrainian', 'electronic', 'dance']",3:36
Кораблі,The Hardkiss,"6,182","64,045","['ukrainian', 'electronic', '2018', 'dance', 'alternative rock', 'ukrainian', 'electronic', 'dance']",В твоїх очах дні останні Венеції
