title,artist,spotify_artist,track_id,artist_id,duration_ms,track_popularity,album_id,album_name,album_release_date,total_tracks
Fantastic,The Unsleeping,The Unsleeping,60rq4he8XZoC2XsENeLSWV,4lkuCrbRHsGwfVR916oqsM,202634,28,5PhENiCNWY9jcQJe0z178B,Deviatve,2018-08-30,5
Холодно,The Unsleeping,The Unsleeping,25omkMCQxe3Xz1WkmIBBHg,4lkuCrbRHsGwfVR916oqsM,189418,32,3f0VckJlprAXg2yvjG2Alp,Холодно,2023-08-25,1
Wonderland,The Unsleeping,The Unsleeping,1GnnrwGNV1726WnT4oETjg,4lkuCrbRHsGwfVR916oqsM,191176,24,5PhENiCNWY9jcQJe0z178B,Deviatve,2018-08-30,5
Denise,The Unsleeping,The Unsleeping,4qEfEHmGGmZSwEgoISvMaN,4lkuCrbRHsGwfVR916oqsM,147350,25,5PhENiCNWY9jcQJe0z178B,Deviatve,2018-08-30,5
Переживу,The Unsleeping,The Unsleeping,0eJyeS12NbR7xYHgeQ5j8Q,4lkuCrbRHsGwfVR916oqsM,156529,38,6zTRD1iuErcDTS2QJrxvHC,"Пиріжок з любов’ю, злістю",2024-10-18,4
Хіба це життя?,The Unsleeping,The Unsleeping,37GYQ4lM4QbAg5jt2Xzh5X,4lkuCrbRHsGwfVR916oqsM,185800,36,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
People All Around,The Unsleeping,The Unsleeping,3wLD7Z5nx9pDLDj3lahoEJ,4lkuCrbRHsGwfVR916oqsM,229190,22,5PhENiCNWY9jcQJe0z178B,Deviatve,2018-08-30,5
Отакої,The Unsleeping,The Unsleeping,1vbNYMLPURQNG4kBWVajGC,4lkuCrbRHsGwfVR916oqsM,70243,24,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Я кусаю щоки,The Unsleeping,The Unsleeping,0kBLF3YJT5U9Qrl8SIFXUR,4lkuCrbRHsGwfVR916oqsM,229587,34,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Спека,The Unsleeping,The Unsleeping,5uDDNcQ7bhevJHy9VNRvif,4lkuCrbRHsGwfVR916oqsM,265043,26,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Зле/зле/зле,The Unsleeping,The Unsleeping,4N0xZBfOABt2O4bTzXjV4b,4lkuCrbRHsGwfVR916oqsM,196020,36,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Недопитий холодний чай,The Unsleeping,The Unsleeping,1pmv3N85DArzTAoJq4XUWv,4lkuCrbRHsGwfVR916oqsM,90517,25,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Зі скла,The Unsleeping,The Unsleeping,0wn4oyWpncbOaJ880RYzu7,4lkuCrbRHsGwfVR916oqsM,204216,34,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Мусиш,The Unsleeping,The Unsleeping,2VPHcLUYCfKOepHvEbp8IL,4lkuCrbRHsGwfVR916oqsM,227608,30,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
«Флора»,The Unsleeping,The Unsleeping,72WlKpv5adRgzcfvKwv1x9,4lkuCrbRHsGwfVR916oqsM,287616,27,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Жучара,The Unsleeping,The Unsleeping,05QkYWpmhDDj1wpUgwyNz1,4lkuCrbRHsGwfVR916oqsM,302457,29,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Пʼята ранку,The Unsleeping,The Unsleeping,34K4GFG4htSH8ery1oPRYh,4lkuCrbRHsGwfVR916oqsM,128812,20,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Равлик у вусі,The Unsleeping,The Unsleeping,4it7bw4LVgVNPkE0E2Ob3r,4lkuCrbRHsGwfVR916oqsM,292771,25,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
"Вдома, Європейська 17, 2020",The Unsleeping,The Unsleeping,1dGjz3BPpg2X4sex9aZOSg,4lkuCrbRHsGwfVR916oqsM,123103,21,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Готова пісня,The Unsleeping,The Unsleeping,6b6QjGX5eFpYkFgWkT1GTv,4lkuCrbRHsGwfVR916oqsM,135903,19,7nTWNOPwBgOKqiyYO6Iy19,Справжній бедрум панк,2024-11-15,14
Барабан,Artem Pivovarov,Artem Pivovarov,2WeoEwj67HCAR2QULKnql6,11sIz9STeD6yVSuBaD8nMW,190912,52,0IYlHtB8Mvf8d445ocJFB9,THE BEST,2024-05-27,20
Дежавю - UA VERSION,Artem Pivovarov,Artem Pivovarov,1QyAdpy1ICslFbCarmpXf5,11sIz9STeD6yVSuBaD8nMW,244067,42,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Майбутність,Artem Pivovarov,Artem Pivovarov,4uJ1mmOyKqSmABooLelaJU,11sIz9STeD6yVSuBaD8nMW,132586,27,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Думи,Artem Pivovarov,Artem Pivovarov,5vwSFo758pgsLcQ7WYtT51,11sIz9STeD6yVSuBaD8nMW,165164,45,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
Маніфест,Artem Pivovarov,Artem Pivovarov,0pWMr82unREASQGFJrrI5S,11sIz9STeD6yVSuBaD8nMW,120427,41,735VsIME5VK3hrbDLkUUFz,Маніфест,2022-12-26,1
Очі,Artem Pivovarov,Artem Pivovarov,61E2cHe928An7SqMk14Nbk,11sIz9STeD6yVSuBaD8nMW,199386,44,4NYbJJwI4ylj4DLOTuhD1E,"Твої Вірші, Мої Ноти PT.2",2024-11-29,17
Ой на горі,Artem Pivovarov,Artem Pivovarov,1kTtW9kzGGxbQISdhe8pzG,11sIz9STeD6yVSuBaD8nMW,126962,39,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
Радiсно,Artem Pivovarov,Artem Pivovarov,0S1dtrBpg8YRND3HON3cs6,11sIz9STeD6yVSuBaD8nMW,141922,29,5mM1lTjE0J6uIqqE9TmCs9,The Best (UA),2022-11-04,15
Там у тополі,Artem Pivovarov,Artem Pivovarov,4TP5hCUeQ6QwYzPkTfxG6G,11sIz9STeD6yVSuBaD8nMW,194128,42,5WNjZdBlj83NeNSJF3xgrJ,"Твої Вірші, Мої Ноти PT.1",2023-03-10,17
