artist,album,num_tracks,album_length,release_date,listeners,scrobbles,tags,tracks
BLOOMS CORDA,7 Pisen,7,27:03,23 April 2014,285,"2,627","['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['zemletrus', 'viter', 'scho take bez-tebe-vechir', 'soldat na placu', 'zoloto Reinu', 'udam scho naspravdi', 'Vidkruemo Vesnu']"
BLOOMS CORDA,Monodance bonus tracks,5,,2 December 2015,54,328,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['tattoo (minimalistic)', 'v ochikuvanni chogos kraschogo', 'serce moe (piano version)', 'Christmas goodness', 'serce moe']"
BLOOMS CORDA,Monodance Bonus Tracks - EP,5,,4 April 2020,152,644,"['ukrainian', 'funk', 'lounge', 'ukraine', 'pop', 'ukrainian', 'funk', 'lounge']","['tattoo (minimalistic)', 'v ochikuvanni chogos kraschogo', 'serce moe (piano version)', 'Christmas goodness', 'serce moe']"
Ницо Потворно,Реанімація - EP,6,,11 September 2020,43,514,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Окситоцин', 'Реанімація', 'Цікаве життя', 'Хвлв', 'Афтерклоузер', 'Сутра (feat. Ищенко)']"
Ницо Потворно,Реанімація,6,,10 September 2020,"2,728","43,579","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Окситоцин', 'Реанімація', 'Цікаве життя', 'Хвлв', 'Афтерклоузер', 'Сутра']"
Ницо Потворно,Русні пізда - Single,1,,10 June 2022,30,58,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']",['Русні пізда']
Ницо Потворно,Русні пізда,1,,9 June 2022,650,"3,855","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']",['Русні пізда']
Ницо Потворно,Аудіоєбологія - Single,2,5:09,19 April 2024,10,35,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Ти', 'Про минуле, майбутнє і майбутнє']"
Ницо Потворно,Цифри,3,11:06,1 March 2024,677,"4,133","['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Цифри', 'Коли тебе нема', 'Недоречний (акустика)']"
Ницо Потворно,Цифри - Single,3,11:06,1 March 2024,10,37,"['ukrainian', 'hip hop', 'rap', 'electronic', 'experimental', 'ukrainian', 'hip hop', 'rap']","['Цифри', 'Коли тебе нема', 'Недоречний (акустика)']"
