Epoch	train_cost	val_cost	epoch_time	learing_rate
417	1.48242	4.17898	110.961s	0.0001
418	1.46022	4.10633	111.056s	0.0001
419	1.46847	4.23283	110.721s	0.0001
420	1.47268	4.00577	111.421s	0.0001
421	1.45738	4.17056	114.519s	0.0001
422	1.45668	4.07799	110.718s	0.0001
423	1.46139	4.00004	110.92s	0.0001
424	1.44251	4.03733	111.229s	0.0001
425	1.46307	4.07269	110.658s	0.0001
426	1.42688	4.01538	110.646s	0.0001
427	1.43406	3.97372	110.794s	0.0001
428	1.42393	4.2035	110.799s	0.0001
429	1.41533	3.97916	110.359s	0.0001
430	1.41405	3.95443	110.832s	0.0001
431	1.40848	4.01162	111.675s	0.0001
432	1.41058	3.95452	111.087s	0.0001
433	1.3925	3.96587	112.046s	0.0001
434	1.38337	4.09276	110.759s	0.0001
435	1.3785	3.98776	110.591s	0.0001
436	1.38263	4.05877	110.667s	0.0001
437	1.37683	3.99257	110.899s	0.0001
438	1.37247	4.10098	110.936s	0.0001
439	1.38539	3.91626	110.751s	0.0001
440	1.37296	3.94479	110.413s	0.0001
441	1.35151	3.86499	111.7s	0.0001
442	1.36536	3.90835	111.049s	0.0001
443	1.34996	4.09471	110.382s	0.0001
444	1.36416	3.97778	110.927s	0.0001
445	1.33861	4.02658	111.287s	0.0001
446	1.33024	4.1366	111.779s	0.0001
447	1.3335	4.00197	112.247s	0.0001
448	1.33595	4.05866	110.821s	0.0001
449	1.32849	4.06129	111.422s	0.0001
450	1.32113	4.12165	110.681s	0.0001
451	1.30962	4.02509	110.541s	0.0001
452	1.2922	4.12897	110.951s	0.0001
453	1.31224	3.99511	110.624s	0.0001
454	1.28663	4.08366	110.555s	0.0001
455	1.29378	3.93693	110.954s	0.0001
456	1.34362	4.10358	110.736s	0.0001
457	1.3097	4.086	110.542s	0.0001
458	1.27366	4.03418	110.885s	0.0001
459	1.27297	3.99627	110.665s	0.0001
460	1.29565	3.97147	110.24s	0.0001
461	1.27821	4.07013	110.309s	0.0001
462	1.25858	4.04192	110.655s	0.0001
463	1.30217	3.95687	110.627s	0.0001
464	1.24394	3.96287	110.394s	0.0001
465	1.25815	4.0051	110.47s	0.0001
466	1.24588	4.04466	110.596s	0.0001
467	1.2398	4.0937	110.358s	0.0001
468	1.35625	3.92498	110.624s	0.0001
469	1.24799	4.05193	110.504s	0.0001
470	1.23994	4.05036	110.557s	0.0001
471	1.23376	3.90775	110.381s	0.0001
472	1.21908	3.97835	110.638s	0.0001
473	1.25188	4.09953	110.63s	0.0001
474	1.19877	3.91891	110.595s	0.0001
