Epoch	train_cost	val_cost	epoch_time	learing_rate
286	0.124674	0.125714	106.21s	2.5e-06
287	0.125581	0.123424	106.544s	2.5e-06
288	0.123929	0.122931	106.497s	2.5e-06
289	0.123775	0.125385	106.25s	2.5e-06
290	0.124323	0.122684	106.131s	2.5e-06
291	0.123628	0.123531	106.397s	2.5e-06
292	0.123784	0.124656	106.274s	2.5e-06
293	0.124377	0.122787	106.16s	2.5e-06
294	0.123762	0.121218	106.623s	2.5e-06
295	0.123695	0.121435	106.468s	2.5e-06
296	0.123613	0.1269	106.308s	2.5e-06
297	0.123053	0.123154	106.707s	2.5e-06
298	0.123957	0.123301	106.677s	2.5e-06
299	0.123012	0.12334	106.641s	2.5e-06
300	0.122798	0.125245	106.842s	2.5e-06
