title,artist,albums,albums_filtered,main_album
Серце,The Hardkiss,"['the best', 'Залізна ластівка']",['Залізна ластівка'],Залізна ластівка
Обійми,The Hardkiss,"['Жива і не залізна', 'Обійми']",['Жива і не залізна'],Жива і не залізна
Doctor Thomases,The Hardkiss,"['Cold Altair', 'Perfection Is a Lie']","['Cold Altair', 'Perfection Is a Lie']",Cold Altair
Japanese Dancer,The Hardkiss,['Stones and Honey'],['Stones and Honey'],Stones and Honey
Forever More,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
"Хто, як не ти",The Hardkiss,"['Залізна ластівка', 'Хто, як не ти']",['Залізна ластівка'],Залізна ластівка
Tell Me Brother,The Hardkiss,"['Stones and Honey', 'Tell Me Brother']",['Stones and Honey'],Stones and Honey
Perfection,The Hardkiss,"['Perfection Is a Lie', 'Perfection']",['Perfection Is a Lie'],Perfection Is a Lie
Only Once,The Hardkiss,['Stones and Honey'],['Stones and Honey'],Stones and Honey
Два вікна,The Hardkiss,['Два вікна'],[],Other
Hammer,The Hardkiss,"['Cold Altair', 'Perfection Is a Lie']","['Cold Altair', 'Perfection Is a Lie']",Cold Altair
Altair,The Hardkiss,"['Cold Altair', 'Perfection Is a Lie']","['Cold Altair', 'Perfection Is a Lie']",Cold Altair
Little Girl,The Hardkiss,['Stones and Honey'],['Stones and Honey'],Stones and Honey
00:00,The Hardkiss,"['Залізна ластівка', 'the best']",['Залізна ластівка'],Залізна ластівка
Косатка,The Hardkiss,"['Косатка - Single', 'Жива і не залізна']",['Жива і не залізна'],Жива і не залізна
PIBIP,The Hardkiss,[],[],Other
Де ти є,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
Привіт,The Hardkiss,['Залізна ластівка'],['Залізна ластівка'],Залізна ластівка
Make Up,The Hardkiss,[],[],Other
Дівчина,The Hardkiss,[],[],Other
Teresa & Maria,alyona alyona,[],[],Other
Пушка,alyona alyona,['Пушка'],['Пушка'],Пушка
KUPALA,alyona alyona,['Dai Boh'],['Dai Boh'],Other
Відчиняй,alyona alyona,"['Пушка', 'Відчиняй']",['Пушка'],Пушка
Як би я була не я,alyona alyona,['Пушка'],['Пушка'],Пушка
Голови,alyona alyona,[],[],Other
Залишаю свій дім,alyona alyona,"['Залишаю свій дім', 'Пушка']",['Пушка'],Пушка
Не втратимо зв'язок,alyona alyona,"[""Не втратимо зв'язок"", ""Не втратимо зв'язок - Single""]",[],Other
Рибки 3,alyona alyona,['Пушка'],['Пушка'],Пушка
Падло,alyona alyona,['Пушка'],['Пушка'],Пушка
Велика й смiшна,alyona alyona,['Пушка'],['Пушка'],Пушка
Dai Boh,alyona alyona,['Dai Boh'],['Dai Boh'],Other
Dym,alyona alyona,['Galas'],['Galas'],Galas
Небо хилиться,alyona alyona,['Небо хилиться'],[],Other
Завтра,alyona alyona,[],[],Other
Дихає вулиця,alyona alyona,['Пушка'],['Пушка'],Пушка
Лiтак,alyona alyona,['Пушка'],['Пушка'],Пушка
Викину,alyona alyona,['Пушка'],['Пушка'],Пушка
Дикі танці,alyona alyona,"['В хаті МА', 'Дикі танці']",['В хаті МА'],В хаті МА
Брехунець,alyona alyona,['Пушка'],['Пушка'],Пушка
В хаті МА,alyona alyona,['В хаті МА'],['В хаті МА'],В хаті МА
Не перегоріти,alyona alyona,[],[],Other
Shalom,alyona alyona,"['Shalom', 'Galas']",['Galas'],Galas
Мамин суп,alyona alyona,"['В хаті МА', 'Мамин суп']",['В хаті МА'],В хаті МА
Galas,alyona alyona,['Galas'],['Galas'],Galas
Сіє віє,alyona alyona,['В хаті МА'],['В хаті МА'],В хаті МА
Волю молодим,alyona alyona,"['Волю молодим', 'Волю молодим - Single']",[],Other
20 тонн,alyona alyona,['LAVA'],['LAVA'],Other
Zozulia,alyona alyona,['Dai Boh'],['Dai Boh'],Other
Щедра ніч,alyona alyona,[],[],Other
Pappi Pappi,alyona alyona,['Galas'],['Galas'],Galas
Назавжди ваша,alyona alyona,['Galas'],['Galas'],Galas
Читаю реп,alyona alyona,['Galas'],['Galas'],Galas
